Model,VIN,Uph,Retail Date,MSRP,Wholesale date,Trade,Client order,Paints,Lot life,Defect
CLS450C4,WDD2J5KB8KA018685,Black,5/28/2019,"$83,280 ",11/15/2018,0,0,Black,194,1
GT63C4,WDD7X8JB1KA000519,Grey,5/28/2019,"$148,800 ",3/11/2019,0,0,Black,78,0
E300W4,WDDZF4KB4KA639237,Beige,5/28/2019,"$65,860 ",5/17/2019,1,0,Red,11,0
GLC300W4,WDC0G4KB4KV186112,Black,5/28/2019,"$59,825 ",5/13/2019,1,0,Blue,15,0
E450W4,WDDZF6JB7KA500894,Black,5/28/2019,"$68,190 ",5/2/2019,0,0,Silver,26,0
C300A4,WDDWK8EB4KF883314,White,5/28/2019,"$65,485 ",5/21/2019,1,0,Blue,7,0
GLE350W4,4JGFB4KB4LA049027,Black,5/28/2019,"$69,400 ",5/9/2019,0,0,Black,19,0
S63V4,WDDUG8JB4KA482082,Black,5/28/2019,"$178,295 ",4/16/2019,0,0,Black,42,0
GLC300W4,WDC0G4KBXKV178371,White,5/28/2019,"$59,780 ",4/19/2019,0,0,Silver,39,0
S560V4,WDDUG8GB8KA489642,Brown,5/28/2019,"$115,085 ",5/21/2019,1,0,Black,7,0
C300W4,55SWF8EB2KU319369,Red,5/28/2019,"$56,685 ",5/16/2019,0,1,Black,12,0
E300W4,WDDZF4KB3KA570184,Black,5/28/2019,"$69,580 ",11/7/2018,0,0,Black,202,1
C300W4,55SWF8EB6KU314594,Grey,5/22/2019,"$47,415 ",3/15/2019,0,0,Grey,68,0
GLC300W4,WDC0G4KB5KV174857,Beige,5/22/2019,"$51,420 ",4/20/2019,0,0,White,32,0
GLE350W4,4JGFB4KBXLA012001,Black,5/22/2019,"$62,740 ",5/21/2019,1,0,Grey,1,0
E63S4S,WDDZH8KB3KA662350,Black,5/22/2019,"$128,530 ",5/6/2019,0,1,Grey,16,0
C43W4,55SWF6EB5KU284802,Red,5/21/2019,"$67,990 ",2/11/2019,0,0,Black,99,1
S560V4,WDDUG8GB5KA463273,Black,5/18/2019,"$114,095 ",5/9/2019,0,0,Black,9,0
GLC300W4,WDC0G4KB4KF569414,Beige,5/18/2019,"$51,175 ",12/13/2018,0,0,Blue,156,1
GLE350W4,4JGFB4KB7LA045621,Black,5/18/2019,"$66,120 ",5/1/2019,0,0,Black,17,0
GTA,WDDYK7HA4JA018831,White,5/16/2019,"$147,105 ",10/17/2018,0,0,White,211,1
E300W4,WDDZF4KB4KA668446,Brown,5/16/2019,"$68,780 ",5/10/2019,0,1,White,6,0
C300A4,WDDWK8EB3KF815781,White,5/16/2019,"$67,035 ",10/24/2018,0,0,Silver,204,1
E300W4,WDDZF4KB8KA634249,Black,5/16/2019,"$75,625 ",5/4/2019,0,0,Black,12,0
GLC300W4,WDC0G4KB3KV163789,Black,5/16/2019,"$52,865 ",2/21/2019,0,0,White,84,0
E300W4,WDDZF4KB0KA642345,Brown,5/16/2019,"$65,755 ",5/3/2019,0,1,Blue,13,0
C300W4,55SWF8EBXKU315618,Black,5/14/2019,"$52,355 ",3/25/2019,0,1,Silver,50,0
E63W4S,WDDZF8KBXKA529882,Black,5/14/2019,"$121,355 ",11/26/2018,0,0,Black,169,1
GLA250W4,WDCTG4GB9KJ623034,Beige,5/14/2019,"$41,470 ",4/5/2019,0,0,White,39,0
CLS53C4,WDD2J6BBXKA041598,White,5/13/2019,"$97,090 ",4/30/2019,0,1,White,13,0
CLS53C4,WDD2J6BB2KA041806,Red,5/13/2019,"$106,320 ",5/6/2019,0,1,Black,7,0
GLC300W4,WDC0G4KB1KF637037,Beige,5/11/2019,"$49,740 ",4/30/2019,0,0,Blue,11,0
CLA250C4,WDDSJ4GB7KN748762,Beige,5/11/2019,"$40,640 ",5/4/2019,1,0,White,7,0
G550W4,WDCYC6BJ3KX322106,Beige,5/10/2019,"$146,165 ",5/6/2019,0,1,Red,4,0
GLC300W4,WDC0G4KB3KF627092,Beige,5/10/2019,"$48,170 ",4/16/2019,0,0,White,24,0
C300A4,WDDWK8EB4KF814963,Red,5/9/2019,"$69,105 ",10/24/2018,0,0,Black,197,1
GLE350W4,4JGFB4KBXLA046147,Black,5/9/2019,"$69,065 ",5/1/2019,0,0,White,8,0
S63V4,WDDUG8JB8KA470078,White,5/9/2019,"$174,215 ",4/24/2019,1,0,White,15,0
GLE450W4,4JGFB5KE8LA009548,Grey,5/4/2019,"$77,660 ",3/21/2019,0,0,White,44,0
GLE350W4,4JGFB4KB1LA045291,Beige,5/4/2019,"$68,095 ",5/1/2019,0,1,Blue,3,0
